id,name,category,glass,tags,alcoholic,ingredients
11000,Mojito,Cocktail,Highball glass,"['IBA', 'ContemporaryClassic', 'Alcoholic', 'USA', 'Asia', 'Vegan', 'Citrus', 'Brunch', 'Hangover', 'Mild']",1,"['Soda water', 'Light Rum', 'Lime', 'Mint', 'Sugar']"
11001,Old Fashioned,Cocktail,Old-fashioned glass,"['IBA', 'Classic', 'Alcoholic', 'Expensive', 'Savory']",1,"['Water', 'Sugar', 'Angostura Bitters', 'Bourbon']"
11002,Long Island Tea,Ordinary Drink,Highball glass,"['Strong', 'Asia', 'StrongFlavor', 'Brunch', 'Vegetarian', 'Sour']",1,"['Light Rum', 'lemon', 'Vodka', 'Gin', 'Tequila', 'Coca-Cola']"
11003,Negroni,Ordinary Drink,Old-fashioned glass,"['IBA', 'Classic']",1,"['Sweet Vermouth', 'Gin', 'Campari']"
11004,Whiskey Sour,Ordinary Drink,Old-fashioned glass,"['IBA', 'Classic', 'Alcoholic', 'ContemporaryClassic']",1,"['Powdered Sugar', 'lemon', 'Blended Whiskey', 'Cherry']"
11005,Dry Martini,Cocktail,Cocktail glass,"['IBA', 'Classic', 'Christmas', 'Alcoholic']",1,"['Dry Vermouth', 'Gin', 'Olive']"
11006,Daiquiri,Ordinary Drink,Cocktail glass,"['IBA', 'Classic', 'Beach']",1,"['Light Rum', 'Lime', 'Powdered Sugar']"
11007,Margarita,Ordinary Drink,Cocktail glass,"['IBA', 'ContemporaryClassic']",1,"['Tequila', 'Lime Juice', 'Salt', 'Triple Sec']"
11008,Manhattan,Cocktail,Cocktail glass,"['IBA', 'Classic', 'Alcoholic']",1,"['Angostura Bitters', 'Bourbon', 'Ice', 'Maraschino Cherry', 'Orange Peel', 'Sweet Vermouth']"
11009,Moscow Mule,Punch / Party Drink,Copper Mug,"['IBA', 'ContemporaryClassic']",1,"['Vodka', 'Ginger Ale', 'Lime Juice']"
11010,After Dinner Cocktail,Ordinary Drink,Cocktail glass,['DinnerParty'],1,"['Apricot Brandy', 'Lime', 'Triple Sec']"
11011,After Supper Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Apricot Brandy', 'Lemon Juice', 'Triple Sec']"
11012,Alabama Slammer,Ordinary Drink,Highball glass,['Summer'],1,"['Amaretto', 'Lemon Juice', 'Sloe Gin', 'Southern Comfort']"
11013,Alaska Cocktail,Ordinary Drink,Cocktail glass,"['Beach', 'Chilli']",1,"['Gin', 'Lemon Peel', 'Orange Bitters', 'Yellow Chartreuse']"
11014,Alexander,Ordinary Drink,Cocktail glass,"['IBA', 'Classic', 'Dairy']",1,"['Gin', 'Creme De Cacao', 'Light Cream', 'Nutmeg']"
11016,Brandy Alexander,Ordinary Drink,Whiskey Glass,"['Nutty', 'Dairy']",1,"['Brandy', 'Creme De Cacao', 'Light Cream', 'Nutmeg']"
11019,Alfie Cocktail,Ordinary Drink,Cocktail glass,['Alcoholic'],1,"['Lemon vodka', 'Pineapple Juice', 'Triple Sec']"
11020,Algonquin,Ordinary Drink,Cocktail glass,[],1,"['Blended Whiskey', 'Dry Vermouth', 'Pineapple Juice']"
11021,Allegheny,Ordinary Drink,Cocktail glass,[],1,"['Blackberry Brandy', 'Bourbon', 'Dry Vermouth', 'Lemon Juice', 'Lemon Peel']"
11022,Allies Cocktail,Ordinary Drink,Cocktail glass,[],1,"['Gin', 'Dry Vermouth', 'Kummel']"
11023,Almeria,Ordinary Drink,Cocktail glass,[],1,"['Dark Rum', 'Egg White', 'Kahlua']"
11024,Almond Joy,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'Creme De Cacao', 'Light Cream']"
11025,Amaretto And Cream,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'Light Cream']"
11026,Amaretto Mist,Ordinary Drink,Old-fashioned glass,[],1,"['Amaretto', 'Lime']"
11027,Amaretto Rose,Ordinary Drink,Collins glass,[],1,"['Amaretto', 'Club Soda', 'Lime Juice']"
11028,Amaretto Stinger,Ordinary Drink,Cocktail glass,[],1,"['Amaretto', 'White Creme de Menthe']"
11029,Amaretto Tea,Ordinary Drink,Pousse cafe glass,[],1,"['Amaretto', 'Tea', 'Whipped Cream']"
11034,Angel Face,Ordinary Drink,Cocktail glass,"['IBA', 'Classic']",1,"['Gin', 'Apple Brandy', 'Apricot Brandy']"
11046,Applecar,Ordinary Drink,Cocktail glass,[],1,"['Applejack', 'Lemon Juice', 'Triple Sec']"
11050,Apricot Lady,Ordinary Drink,Old-fashioned glass,['Cold'],1,"['Apricot Brandy', 'Egg White', 'Lemon Juice', 'Light Rum', 'Orange', 'Triple Sec']"
